"","filename","id","pmid","year","mr","trait","category","subcategory","population","sex","ncase","ncontrol","sample_size","group_name","access","build","author","chr_col","pos_col","oa_col","ea_col","eaf_col","beta_col","se_col","pval_col","delimiter","header","nsnpfiles","nsnp"
"42","1448_p3_MID.gz","ukb-e-1448_p3_MID",NA,2020,1,"Bread type","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",668,853,1521,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1448_p3_MID.nsnp",12001160
"43","1468_p1_MID.gz","ukb-e-1468_p1_MID",NA,2020,1,"Cereal type","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",210,847,1057,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1468_p1_MID.nsnp",11576425
"44","1468_p3_MID.gz","ukb-e-1468_p3_MID",NA,2020,1,"Cereal type","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",244,813,1057,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1468_p3_MID.nsnp",11714294
"45","1468_p4_MID.gz","ukb-e-1468_p4_MID",NA,2020,1,"Cereal type","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",213,844,1057,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1468_p4_MID.nsnp",11551813
"46","1468_p5_MID.gz","ukb-e-1468_p5_MID",NA,2020,1,"Cereal type","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",219,838,1057,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1468_p5_MID.nsnp",11643099
"47","1508_p2_MID.gz","ukb-e-1508_p2_MID",NA,2020,1,"Coffee type","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",572,582,1154,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1508_p2_MID.nsnp",11690852
"48","1508_p3_MID.gz","ukb-e-1508_p3_MID",NA,2020,1,"Coffee type","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",343,811,1154,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1508_p3_MID.nsnp",11711697
"49","1538_p1_MID.gz","ukb-e-1538_p1_MID",NA,2020,1,"Major dietary changes in the last 5 years","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",855,708,1563,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1538_p1_MID.nsnp",11944983
"50","1538_p2_MID.gz","ukb-e-1538_p2_MID",NA,2020,1,"Major dietary changes in the last 5 years","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",288,1275,1563,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1538_p2_MID.nsnp",11772061
"51","1538_p3_MID.gz","ukb-e-1538_p3_MID",NA,2020,1,"Major dietary changes in the last 5 years","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",420,1143,1563,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1538_p3_MID.nsnp",11869998
"52","1647_p1_MID.gz","ukb-e-1647_p1_MID",NA,2020,1,"Country of birth (UK/elsewhere)","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",337,1201,1538,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1647_p1_MID.nsnp",11690954
"53","1677_MID.gz","ukb-e-1677_MID",NA,2020,1,"Breastfed as a baby","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1174,174,1348,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1677_MID.nsnp",11751360
"54","1707_p1_MID.gz","ukb-e-1707_p1_MID",NA,2020,1,"Handedness (chirality/laterality)","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1435,138,1573,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1707_p1_MID.nsnp",11561930
"55","1747_p4_MID.gz","ukb-e-1747_p4_MID",NA,2020,1,"Hair colour (natural, before greying)","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",627,936,1563,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1747_p4_MID.nsnp",12146971
"56","1747_p5_MID.gz","ukb-e-1747_p5_MID",NA,2020,1,"Hair colour (natural, before greying)","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",708,855,1563,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1747_p5_MID.nsnp",11321269
"57","1797_MID.gz","ukb-e-1797_MID",NA,2020,1,"Father still alive","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",409,1104,1513,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1797_MID.nsnp",11841904
"58","1835_MID.gz","ukb-e-1835_MID",NA,2020,1,"Mother still alive","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",782,753,1535,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1835_MID.nsnp",11768519
"59","1920_MID.gz","ukb-e-1920_MID",NA,2020,1,"Mood swings","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",877,590,1467,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1920_MID.nsnp",11812317
"60","1930_MID.gz","ukb-e-1930_MID",NA,2020,1,"Miserableness","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",684,818,1502,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1930_MID.nsnp",11880490
"61","1940_MID.gz","ukb-e-1940_MID",NA,2020,1,"Irritability","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",458,917,1375,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1940_MID.nsnp",11922775
"62","1950_MID.gz","ukb-e-1950_MID",NA,2020,1,"Sensitivity / hurt feelings","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",875,597,1472,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1950_MID.nsnp",12077541
"63","1960_MID.gz","ukb-e-1960_MID",NA,2020,1,"Fed-up feelings","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",671,796,1467,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1960_MID.nsnp",11893333
"64","1970_MID.gz","ukb-e-1970_MID",NA,2020,1,"Nervous feelings","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",404,1076,1480,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1970_MID.nsnp",11811205
"65","1980_MID.gz","ukb-e-1980_MID",NA,2020,1,"Worrier / anxious feelings","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",914,560,1474,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1980_MID.nsnp",12071728
"66","1990_MID.gz","ukb-e-1990_MID",NA,2020,1,"Tense / 'highly strung'","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",365,947,1312,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1990_MID.nsnp",11776848
"67","2000_MID.gz","ukb-e-2000_MID",NA,2020,1,"Worry too long after embarrassment","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",787,660,1447,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"2000_MID.nsnp",11958993
"68","20002_p1_MID.gz","ukb-e-20002_p1_MID",NA,2020,1,"Non-cancer illness code, self-reported","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",374,1221,1595,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20002_p1_MID.nsnp",11901948
"69","20002_p180_MID.gz","ukb-e-20002_p180_MID",NA,2020,1,"Non-cancer illness code, self-reported","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",254,1341,1595,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20002_p180_MID.nsnp",11715311
"70","20003_p33_MID.gz","ukb-e-20003_p33_MID",NA,2020,1,"Treatment/medication code","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",224,1371,1595,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20003_p33_MID.nsnp",11640067
"71","20003_p118_MID.gz","ukb-e-20003_p118_MID",NA,2020,1,"Treatment/medication code","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",221,1374,1595,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20003_p118_MID.nsnp",11624368
"72","20003_p564_MID.gz","ukb-e-20003_p564_MID",NA,2020,1,"Treatment/medication code","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",429,1166,1595,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20003_p564_MID.nsnp",11840412
"73","2010_MID.gz","ukb-e-2010_MID",NA,2020,1,"Suffer from 'nerves'","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",289,1153,1442,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"2010_MID.nsnp",11779758
"74","20107_p1_MID.gz","ukb-e-20107_p1_MID",NA,2020,1,"Illnesses of father","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",295,952,1247,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20107_p1_MID.nsnp",11585912
"75","20107_p3_MID.gz","ukb-e-20107_p3_MID",NA,2020,1,"Illnesses of father","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",537,697,1234,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20107_p3_MID.nsnp",11489487
"76","20107_p4_MID.gz","ukb-e-20107_p4_MID",NA,2020,1,"Illnesses of father","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1015,227,1242,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20107_p4_MID.nsnp",11291616
"77","20107_p12_MID.gz","ukb-e-20107_p12_MID",NA,2020,1,"Illnesses of father","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",339,904,1243,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20107_p12_MID.nsnp",11663294
"78","20107_p13_MID.gz","ukb-e-20107_p13_MID",NA,2020,1,"Illnesses of father","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",276,959,1235,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20107_p13_MID.nsnp",11590903
"79","20110_p1_MID.gz","ukb-e-20110_p1_MID",NA,2020,1,"Illnesses of mother","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",224,1121,1345,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20110_p1_MID.nsnp",11515067
"80","20110_p3_MID.gz","ukb-e-20110_p3_MID",NA,2020,1,"Illnesses of mother","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",583,761,1344,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20110_p3_MID.nsnp",11659845
"81","20110_p4_MID.gz","ukb-e-20110_p4_MID",NA,2020,1,"Illnesses of mother","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1147,216,1363,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20110_p4_MID.nsnp",11431180
"82","20110_p12_MID.gz","ukb-e-20110_p12_MID",NA,2020,1,"Illnesses of mother","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",528,847,1375,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20110_p12_MID.nsnp",11909727
"83","20110_p13_MID.gz","ukb-e-20110_p13_MID",NA,2020,1,"Illnesses of mother","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",267,1093,1360,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20110_p13_MID.nsnp",11683443
"84","20111_p3_MID.gz","ukb-e-20111_p3_MID",NA,2020,1,"Illnesses of siblings","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",767,499,1266,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20111_p3_MID.nsnp",11579454
"85","20111_p4_MID.gz","ukb-e-20111_p4_MID",NA,2020,1,"Illnesses of siblings","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1060,206,1266,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20111_p4_MID.nsnp",11379414
"86","20111_p13_MID.gz","ukb-e-20111_p13_MID",NA,2020,1,"Illnesses of siblings","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",345,939,1284,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"20111_p13_MID.nsnp",11775622
